# ['A']
1.000000000000000021e-03,1.000000000028755665e-06
1.675000000000000100e-01,1.000000000028755665e-06
3.340000000000000191e-01,1.000030651066019516e-06
4.172500000000000098e-01,7.502000988646173596e-06
4.588750000000000329e-01,3.038165929212022220e-03
4.796875000000000444e-01,6.306318315038628164e-02
4.848906250000000195e-01,1.292267578384727056e-01
4.900937500000000502e-01,2.511425432664780022e-01
4.952968750000000808e-01,4.452098422517113407e-01
5.005000000000000560e-01,6.913097812091192340e-01
5.057031250000001421e-01,9.255285115521484363e-01
5.109062500000001172e-01,1.092698596869626115e+00
5.161093750000000924e-01,1.186478127978680241e+00
5.213125000000000675e-01,1.229200895125571513e+00
5.317187500000000178e-01,1.243745553990353248e+00
5.421249999999999680e-01,1.228129997380887684e+00
5.629374999999999796e-01,1.184761931649176425e+00
5.837499999999999911e-01,1.142608276987155502e+00
6.045625000000000027e-01,1.103276889741168887e+00
6.253750000000000142e-01,1.066559990162371463e+00
6.670000000000000373e-01,9.999999999999998890e-01
7.086250000000000604e-01,9.412595401429447728e-01
7.502500000000000835e-01,8.890370986455330415e-01
7.918750000000001066e-01,8.423048143757677630e-01
8.335000000000000187e-01,8.002401517802174569e-01
8.751249999999999307e-01,7.621770697143966933e-01
9.167499999999999538e-01,7.275704933284007359e-01
1.000000000000000000e+00,6.670003330088113414e-01
